2026-04-16 10:28:29 | help
2026-04-16 10:28:33 | whoami
2026-04-16 10:28:36 | date
2026-04-16 10:28:46 | exit
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | whoami
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | exit
2026-04-16 10:29:47 | exit
2026-04-16 13:26:09 | help
2026-04-16 13:26:24 | whoami
2026-04-16 13:26:27 | dir
2026-04-16 13:26:30 | uptime
2026-04-16 13:26:36 | date
2026-04-16 13:26:42 | shutdown
2026-04-16 13:26:48 | exit
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | whoami
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | exit
2026-04-16 13:30:04 | exit
2026-04-16 15:35:25 | help
2026-04-16 15:35:30 | whoami
2026-04-16 15:35:33 | date
2026-04-16 15:35:38 | dir
2026-04-16 15:35:40 | exit
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | whoami
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | exit
2026-04-16 15:37:39 | exit
2026-04-16 15:50:04 | help
2026-04-22 17:28:43 | help
2026-04-22 17:28:47 | whoami
2026-04-22 17:28:53 | date
2026-04-22 17:29:07 | dir
2026-04-22 17:29:12 | exit
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | whoami
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | exit
2026-04-22 17:46:24 | exit
